[05:56:31] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[05:56:31] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[05:56:31] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/Ann/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[05:56:40] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:56:42] [main/INFO]: Loaded 7 recipes
[05:56:43] [main/INFO]: Loaded 1271 advancements
[05:56:43] [Server thread/INFO]: Starting minecraft server version 1.20.1
[05:56:43] [Server thread/INFO]: Loading properties
[05:56:43] [Server thread/INFO]: Default game type: SURVIVAL
[05:56:43] [Server thread/INFO]: Generating keypair
[05:56:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:56:43] [Server thread/INFO]: Using epoll channel type
[05:56:44] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:56:44] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:56:44] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:56:44] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:56:44] [Server thread/INFO]: Preparing level "world"
[05:57:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:19] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:19] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:21] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:21] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:22] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:27] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:27] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:31] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:31] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:32] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:32] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:35] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:36] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:36] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:45] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:46] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[05:57:46] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[05:57:46] [Worker-Main-6/INFO]: Preparing spawn area: 15%
[05:57:47] [Worker-Main-6/INFO]: Preparing spawn area: 47%
[05:57:47] [Worker-Main-6/INFO]: Preparing spawn area: 47%
[05:57:49] [Server thread/INFO]: Time elapsed: 52359 ms
[05:57:49] [Server thread/INFO]: Done (65.079s)! For help, type "help"
